adstrd_code,adstrd_nm,brtc_nm,signgu_nm
11110515 ,청운효자동,서울특별시,종로구
11110530 ,사직동,서울특별시,종로구
11110540 ,삼청동,서울특별시,종로구
11110550 ,부암동,서울특별시,종로구
11110560 ,평창동,서울특별시,종로구
11110570 ,무악동,서울특별시,종로구
11110580 ,교남동,서울특별시,종로구
11110600 ,가회동,서울특별시,종로구
11110615 ,종로1.2.3.4가동,서울특별시,종로구
11110630 ,종로5.6가동,서울특별시,종로구
11110640 ,이화동,서울특별시,종로구
11110650 ,혜화동,서울특별시,종로구
11110670 ,창신1동,서울특별시,종로구
11110680 ,창신2동,서울특별시,종로구
11110690 ,창신3동,서울특별시,종로구
11110700 ,숭인1동,서울특별시,종로구
11110710 ,숭인2동,서울특별시,종로구
11140520 ,소공동,서울특별시,중구
11140540 ,회현동,서울특별시,중구
11140550 ,명동,서울특별시,중구
11140570 ,필동,서울특별시,중구
11140580 ,장충동,서울특별시,중구
11140590 ,광희동,서울특별시,중구
11140605 ,을지로동,서울특별시,중구
11140615 ,신당동,서울특별시,중구
11140625 ,다산동,서울특별시,중구
11140635 ,약수동,서울특별시,중구
11140645 ,청구동,서울특별시,중구
11140650 ,신당5동,서울특별시,중구
11140665 ,동화동,서울특별시,중구
11140670 ,황학동,서울특별시,중구
11140680 ,중림동,서울특별시,중구
11170510 ,후암동,서울특별시,용산구
11170520 ,용산2가동,서울특별시,용산구
11170530 ,남영동,서울특별시,용산구
11170555 ,청파동,서울특별시,용산구
11170560 ,원효로1동,서울특별시,용산구
11170570 ,원효로2동,서울특별시,용산구
11170580 ,효창동,서울특별시,용산구
11170590 ,용문동,서울특별시,용산구
11170625 ,한강로동,서울특별시,용산구
11170630 ,이촌1동,서울특별시,용산구
11170640 ,이촌2동,서울특별시,용산구
11170650 ,이태원1동,서울특별시,용산구
11170660 ,이태원2동,서울특별시,용산구
11170685 ,한남동,서울특별시,용산구
11170690 ,서빙고동,서울특별시,용산구
11170700 ,보광동,서울특별시,용산구
11200520 ,왕십리2동,서울특별시,성동구
11200535 ,왕십리도선동,서울특별시,성동구
11200540 ,마장동,서울특별시,성동구
11200550 ,사근동,서울특별시,성동구
11200560 ,행당1동,서울특별시,성동구
11200570 ,행당2동,서울특별시,성동구
11200580 ,응봉동,서울특별시,성동구
11200590 ,금호1가동,서울특별시,성동구
11200615 ,금호2.3가동,서울특별시,성동구
11200620 ,금호4가동,서울특별시,성동구
11200645 ,옥수동,서울특별시,성동구
11200650 ,성수1가1동,서울특별시,성동구
11200660 ,성수1가2동,서울특별시,성동구
11200670 ,성수2가1동,서울특별시,성동구
11200690 ,성수2가3동,서울특별시,성동구
11200720 ,송정동,서울특별시,성동구
11200790 ,용답동,서울특별시,성동구
11215710 ,화양동,서울특별시,광진구
11215730 ,군자동,서울특별시,광진구
11215740 ,중곡1동,서울특별시,광진구
11215750 ,중곡2동,서울특별시,광진구
11215760 ,중곡3동,서울특별시,광진구
11215770 ,중곡4동,서울특별시,광진구
11215780 ,능동,서울특별시,광진구
11215810 ,광장동,서울특별시,광진구
11215820 ,자양1동,서울특별시,광진구
11215830 ,자양2동,서울특별시,광진구
11215840 ,자양3동,서울특별시,광진구
11215847 ,자양4동,서울특별시,광진구
11215850 ,구의1동,서울특별시,광진구
11215860 ,구의2동,서울특별시,광진구
11215870 ,구의3동,서울특별시,광진구
11230536 ,용신동,서울특별시,동대문구
11230545 ,제기동,서울특별시,동대문구
11230560 ,전농1동,서울특별시,동대문구
11230570 ,전농2동,서울특별시,동대문구
11230600 ,답십리1동,서울특별시,동대문구
11230610 ,답십리2동,서울특별시,동대문구
11230650 ,장안1동,서울특별시,동대문구
11230660 ,장안2동,서울특별시,동대문구
11230705 ,청량리동,서울특별시,동대문구
11230710 ,회기동,서울특별시,동대문구
11230720 ,휘경1동,서울특별시,동대문구
11230730 ,휘경2동,서울특별시,동대문구
11230740 ,이문1동,서울특별시,동대문구
11230750 ,이문2동,서울특별시,동대문구
11260520 ,면목2동,서울특별시,중랑구
11260540 ,면목4동,서울특별시,중랑구
11260550 ,면목5동,서울특별시,중랑구
11260565 ,면목본동,서울특별시,중랑구
11260570 ,면목7동,서울특별시,중랑구
11260575 ,면목제3.8동,서울특별시,중랑구
11260580 ,상봉1동,서울특별시,중랑구
11260590 ,상봉2동,서울특별시,중랑구
11260600 ,중화1동,서울특별시,중랑구
11260610 ,중화2동,서울특별시,중랑구
11260620 ,묵1동,서울특별시,중랑구
11260630 ,묵2동,서울특별시,중랑구
11260655 ,망우본동,서울특별시,중랑구
11260660 ,망우3동,서울특별시,중랑구
11260680 ,신내1동,서울특별시,중랑구
11260690 ,신내2동,서울특별시,중랑구
11290525 ,성북동,서울특별시,성북구
11290555 ,삼선동,서울특별시,성북구
11290575 ,동선동,서울특별시,성북구
11290580 ,돈암1동,서울특별시,성북구
11290590 ,돈암2동,서울특별시,성북구
11290600 ,안암동,서울특별시,성북구
11290610 ,보문동,서울특별시,성북구
11290620 ,정릉1동,서울특별시,성북구
11290630 ,정릉2동,서울특별시,성북구
11290640 ,정릉3동,서울특별시,성북구
11290650 ,정릉4동,서울특별시,성북구
11290660 ,길음1동,서울특별시,성북구
11290685 ,길음2동,서울특별시,성북구
11290705 ,종암동,서울특별시,성북구
11290715 ,월곡1동,서울특별시,성북구
11290725 ,월곡2동,서울특별시,성북구
11290760 ,장위1동,서울특별시,성북구
11290770 ,장위2동,서울특별시,성북구
11290780 ,장위3동,서울특별시,성북구
11290810 ,석관동,서울특별시,성북구
11305534 ,삼양동,서울특별시,강북구
11305535 ,미아동,서울특별시,강북구
11305545 ,송중동,서울특별시,강북구
11305555 ,송천동,서울특별시,강북구
11305575 ,삼각산동,서울특별시,강북구
11305595 ,번1동,서울특별시,강북구
11305603 ,번2동,서울특별시,강북구
11305608 ,번3동,서울특별시,강북구
11305615 ,수유1동,서울특별시,강북구
11305625 ,수유2동,서울특별시,강북구
11305635 ,수유3동,서울특별시,강북구
11305645 ,우이동,서울특별시,강북구
11305660 ,인수동,서울특별시,강북구
11320511 ,창1동,서울특별시,도봉구
11320512 ,창2동,서울특별시,도봉구
11320513 ,창3동,서울특별시,도봉구
11320514 ,창4동,서울특별시,도봉구
11320515 ,창5동,서울특별시,도봉구
11320521 ,도봉1동,서울특별시,도봉구
11320522 ,도봉2동,서울특별시,도봉구
11320660 ,쌍문1동,서울특별시,도봉구
11320670 ,쌍문2동,서울특별시,도봉구
11320680 ,쌍문3동,서울특별시,도봉구
11320681 ,쌍문4동,서울특별시,도봉구
11320690 ,방학1동,서울특별시,도봉구
11320700 ,방학2동,서울특별시,도봉구
11320710 ,방학3동,서울특별시,도봉구
11350560 ,월계1동,서울특별시,노원구
11350570 ,월계2동,서울특별시,노원구
11350580 ,월계3동,서울특별시,노원구
11350595 ,공릉1동,서울특별시,노원구
11350600 ,공릉2동,서울특별시,노원구
11350611 ,하계1동,서울특별시,노원구
11350612 ,하계2동,서울특별시,노원구
11350619 ,중계본동,서울특별시,노원구
11350621 ,중계1동,서울특별시,노원구
11350624 ,중계4동,서울특별시,노원구
11350625 ,중계2.3동,서울특별시,노원구
11350630 ,상계1동,서울특별시,노원구
11350640 ,상계2동,서울특별시,노원구
11350665 ,상계3.4동,서울특별시,노원구
11350670 ,상계5동,서울특별시,노원구
11350695 ,상계6.7동,서울특별시,노원구
11350700 ,상계8동,서울특별시,노원구
11350710 ,상계9동,서울특별시,노원구
11350720 ,상계10동,서울특별시,노원구
11380510 ,녹번동,서울특별시,은평구
11380520 ,불광1동,서울특별시,은평구
11380530 ,불광2동,서울특별시,은평구
11380551 ,갈현1동,서울특별시,은평구
11380552 ,갈현2동,서울특별시,은평구
11380560 ,구산동,서울특별시,은평구
11380570 ,대조동,서울특별시,은평구
11380580 ,응암1동,서울특별시,은평구
11380590 ,응암2동,서울특별시,은평구
11380600 ,응암3동,서울특별시,은평구
11380625 ,역촌동,서울특별시,은평구
11380631 ,신사1동,서울특별시,은평구
11380632 ,신사2동,서울특별시,은평구
11380640 ,증산동,서울특별시,은평구
11380650 ,수색동,서울특별시,은평구
11380690 ,진관동,서울특별시,은평구
11410520 ,천연동,서울특별시,서대문구
11410555 ,북아현동,서울특별시,서대문구
11410565 ,충현동,서울특별시,서대문구
11410585 ,신촌동,서울특별시,서대문구
11410615 ,연희동,서울특별시,서대문구
11410620 ,홍제1동,서울특별시,서대문구
11410640 ,홍제3동,서울특별시,서대문구
11410655 ,홍제2동,서울특별시,서대문구
11410660 ,홍은1동,서울특별시,서대문구
11410685 ,홍은2동,서울특별시,서대문구
11410690 ,남가좌1동,서울특별시,서대문구
11410700 ,남가좌2동,서울특별시,서대문구
11410710 ,북가좌1동,서울특별시,서대문구
11410720 ,북가좌2동,서울특별시,서대문구
11440555 ,아현동,서울특별시,마포구
11440565 ,공덕동,서울특별시,마포구
11440585 ,도화동,서울특별시,마포구
11440590 ,용강동,서울특별시,마포구
11440600 ,대흥동,서울특별시,마포구
11440610 ,염리동,서울특별시,마포구
11440630 ,신수동,서울특별시,마포구
11440655 ,서강동,서울특별시,마포구
11440660 ,서교동,서울특별시,마포구
11440680 ,합정동,서울특별시,마포구
11440690 ,망원1동,서울특별시,마포구
11440700 ,망원2동,서울특별시,마포구
11440710 ,연남동,서울특별시,마포구
11440720 ,성산1동,서울특별시,마포구
11440730 ,성산2동,서울특별시,마포구
11440740 ,상암동,서울특별시,마포구
11470510 ,목1동,서울특별시,양천구
11470520 ,목2동,서울특별시,양천구
11470530 ,목3동,서울특별시,양천구
11470540 ,목4동,서울특별시,양천구
11470550 ,목5동,서울특별시,양천구
11470560 ,신월1동,서울특별시,양천구
11470570 ,신월2동,서울특별시,양천구
11470580 ,신월3동,서울특별시,양천구
11470590 ,신월4동,서울특별시,양천구
11470600 ,신월5동,서울특별시,양천구
11470610 ,신월6동,서울특별시,양천구
11470611 ,신월7동,서울특별시,양천구
11470620 ,신정1동,서울특별시,양천구
11470630 ,신정2동,서울특별시,양천구
11470640 ,신정3동,서울특별시,양천구
11470650 ,신정4동,서울특별시,양천구
11470670 ,신정6동,서울특별시,양천구
11470680 ,신정7동,서울특별시,양천구
11500510 ,염창동,서울특별시,강서구
11500520 ,등촌1동,서울특별시,강서구
11500530 ,등촌2동,서울특별시,강서구
11500535 ,등촌3동,서울특별시,강서구
11500540 ,화곡1동,서울특별시,강서구
11500550 ,화곡2동,서울특별시,강서구
11500560 ,화곡3동,서울특별시,강서구
11500570 ,화곡4동,서울특별시,강서구
11500590 ,화곡본동,서울특별시,강서구
11500591 ,화곡6동,서울특별시,강서구
11500593 ,화곡8동,서울특별시,강서구
11500603 ,가양1동,서울특별시,강서구
11500604 ,가양2동,서울특별시,강서구
11500605 ,가양3동,서울특별시,강서구
11500611 ,발산1동,서울특별시,강서구
11500615 ,우장산동,서울특별시,강서구
11500620 ,공항동,서울특별시,강서구
11500630 ,방화1동,서울특별시,강서구
11500640 ,방화2동,서울특별시,강서구
11500641 ,방화3동,서울특별시,강서구
11530510 ,신도림동,서울특별시,구로구
11530520 ,구로1동,서울특별시,구로구
11530530 ,구로2동,서울특별시,구로구
11530540 ,구로3동,서울특별시,구로구
11530550 ,구로4동,서울특별시,구로구
11530560 ,구로5동,서울특별시,구로구
11530595 ,가리봉동,서울특별시,구로구
11530720 ,고척1동,서울특별시,구로구
11530730 ,고척2동,서울특별시,구로구
11530740 ,개봉1동,서울특별시,구로구
11530750 ,개봉2동,서울특별시,구로구
11530760 ,개봉3동,서울특별시,구로구
11530770 ,오류1동,서울특별시,구로구
11530780 ,오류2동,서울특별시,구로구
11530790 ,수궁동,서울특별시,구로구
11530800 ,항동,서울특별시,구로구
11545510 ,가산동,서울특별시,금천구
11545610 ,독산1동,서울특별시,금천구
11545620 ,독산2동,서울특별시,금천구
11545630 ,독산3동,서울특별시,금천구
11545640 ,독산4동,서울특별시,금천구
11545670 ,시흥1동,서울특별시,금천구
11545680 ,시흥2동,서울특별시,금천구
11545690 ,시흥3동,서울특별시,금천구
11545700 ,시흥4동,서울특별시,금천구
11545710 ,시흥5동,서울특별시,금천구
11560515 ,영등포본동,서울특별시,영등포구
11560535 ,영등포동,서울특별시,영등포구
11560540 ,여의동,서울특별시,영등포구
11560550 ,당산1동,서울특별시,영등포구
11560560 ,당산2동,서울특별시,영등포구
11560585 ,도림동,서울특별시,영등포구
11560605 ,문래동,서울특별시,영등포구
11560610 ,양평1동,서울특별시,영등포구
11560620 ,양평2동,서울특별시,영등포구
11560630 ,신길1동,서울특별시,영등포구
11560650 ,신길3동,서울특별시,영등포구
11560660 ,신길4동,서울특별시,영등포구
11560670 ,신길5동,서울특별시,영등포구
11560680 ,신길6동,서울특별시,영등포구
11560690 ,신길7동,서울특별시,영등포구
11560700 ,대림1동,서울특별시,영등포구
11560710 ,대림2동,서울특별시,영등포구
11560720 ,대림3동,서울특별시,영등포구
11590510 ,노량진1동,서울특별시,동작구
11590520 ,노량진2동,서울특별시,동작구
11590530 ,상도1동,서울특별시,동작구
11590540 ,상도2동,서울특별시,동작구
11590550 ,상도3동,서울특별시,동작구
11590560 ,상도4동,서울특별시,동작구
11590605 ,흑석동,서울특별시,동작구
11590620 ,사당1동,서울특별시,동작구
11590630 ,사당2동,서울특별시,동작구
11590640 ,사당3동,서울특별시,동작구
11590650 ,사당4동,서울특별시,동작구
11590651 ,사당5동,서울특별시,동작구
11590660 ,대방동,서울특별시,동작구
11590670 ,신대방1동,서울특별시,동작구
11590680 ,신대방2동,서울특별시,동작구
11620525 ,보라매동,서울특별시,관악구
11620545 ,청림동,서울특별시,관악구
11620565 ,성현동,서울특별시,관악구
11620575 ,행운동,서울특별시,관악구
11620585 ,낙성대동,서울특별시,관악구
11620595 ,청룡동,서울특별시,관악구
11620605 ,은천동,서울특별시,관악구
11620615 ,중앙동,서울특별시,관악구
11620625 ,인헌동,서울특별시,관악구
11620630 ,남현동,서울특별시,관악구
11620645 ,서원동,서울특별시,관악구
11620655 ,신원동,서울특별시,관악구
11620665 ,서림동,서울특별시,관악구
11620685 ,신사동,서울특별시,관악구
11620695 ,신림동,서울특별시,관악구
11620715 ,난향동,서울특별시,관악구
11620725 ,조원동,서울특별시,관악구
11620735 ,대학동,서울특별시,관악구
11620745 ,삼성동,서울특별시,관악구
11620765 ,미성동,서울특별시,관악구
11620775 ,난곡동,서울특별시,관악구
11650510 ,서초1동,서울특별시,서초구
11650520 ,서초2동,서울특별시,서초구
11650530 ,서초3동,서울특별시,서초구
11650531 ,서초4동,서울특별시,서초구
11650540 ,잠원동,서울특별시,서초구
11650550 ,반포본동,서울특별시,서초구
11650560 ,반포1동,서울특별시,서초구
11650570 ,반포2동,서울특별시,서초구
11650580 ,반포3동,서울특별시,서초구
11650581 ,반포4동,서울특별시,서초구
11650590 ,방배본동,서울특별시,서초구
11650600 ,방배1동,서울특별시,서초구
11650610 ,방배2동,서울특별시,서초구
11650620 ,방배3동,서울특별시,서초구
11650621 ,방배4동,서울특별시,서초구
11650651 ,양재1동,서울특별시,서초구
11650652 ,양재2동,서울특별시,서초구
11650660 ,내곡동,서울특별시,서초구
11680510 ,신사동,서울특별시,강남구
11680521 ,논현1동,서울특별시,강남구
11680531 ,논현2동,서울특별시,강남구
11680545 ,압구정동,서울특별시,강남구
11680565 ,청담동,서울특별시,강남구
11680580 ,삼성1동,서울특별시,강남구
11680590 ,삼성2동,서울특별시,강남구
11680600 ,대치1동,서울특별시,강남구
11680610 ,대치2동,서울특별시,강남구
11680630 ,대치4동,서울특별시,강남구
11680640 ,역삼1동,서울특별시,강남구
11680650 ,역삼2동,서울특별시,강남구
11680655 ,도곡1동,서울특별시,강남구
11680656 ,도곡2동,서울특별시,강남구
11680660 ,개포1동,서울특별시,강남구
