일자,행정동명,업종명,이용건수,이용금액,시명,구명,년,월,일,주차
2020-01-06,소공동,인터넷쇼핑,178486,6501428344,서울특별시,중구,2020,1,6,2
2020-01-06,회현동,인터넷쇼핑,12902,838767489,서울특별시,중구,2020,1,6,2
2020-01-06,회현동,인터넷쇼핑,73780,739755276,서울특별시,중구,2020,1,6,2
2020-01-06,장충동,인터넷쇼핑,376,46758974,서울특별시,중구,2020,1,6,2
2020-01-06,을지로동,인터넷쇼핑,2537,105540887,서울특별시,중구,2020,1,6,2
2020-01-06,한강로동,인터넷쇼핑,476060,17439955181,서울특별시,용산구,2020,1,6,2
2020-01-06,한강로동,인터넷쇼핑,50597,1994348367,서울특별시,용산구,2020,1,6,2
2020-01-06,아현동,인터넷쇼핑,131498,4402507980,서울특별시,마포구,2020,1,6,2
2020-01-06,염리동,인터넷쇼핑,30688,855592140,서울특별시,마포구,2020,1,6,2
2020-01-06,상암동,홈쇼핑,1326,79415733,서울특별시,마포구,2020,1,6,2
2020-01-06,목1동,인터넷쇼핑,45900,2220219820,서울특별시,양천구,2020,1,6,2
2020-01-06,구로3동,인터넷쇼핑,184910,6760924177,서울특별시,구로구,2020,1,6,2
2020-01-06,여의동,인터넷쇼핑,104,6750360,서울특별시,영등포구,2020,1,6,2
2020-01-06,신대방2동,인터넷쇼핑,14672,159086510,서울특별시,동작구,2020,1,6,2
2020-01-06,인헌동,인터넷쇼핑,2441,179227584,서울특별시,관악구,2020,1,6,2
2020-01-06,서초4동,인터넷쇼핑,1313,21389990,서울특별시,서초구,2020,1,6,2
2020-01-06,방배4동,인터넷쇼핑,7535,211438170,서울특별시,서초구,2020,1,6,2
2020-01-06,삼성1동,인터넷쇼핑,20562,1030145886,서울특별시,강남구,2020,1,6,2
2020-01-06,대치2동,인터넷쇼핑,590,64534981,서울특별시,강남구,2020,1,6,2
2020-01-06,역삼1동,인터넷쇼핑,1688,104571023,서울특별시,강남구,2020,1,6,2
2020-01-06,역삼1동,인터넷쇼핑,39841,2207520663,서울특별시,강남구,2020,1,6,2
2020-01-06,역삼2동,인터넷쇼핑,7063,499779662,서울특별시,강남구,2020,1,6,2
2020-01-06,수서동,인터넷쇼핑,54934,1279973413,서울특별시,강남구,2020,1,6,2
2020-01-07,역삼1동,인터넷쇼핑,1438,98013084,서울특별시,강남구,2020,1,7,2
2020-01-07,역삼1동,인터넷쇼핑,33142,3170644908,서울특별시,강남구,2020,1,7,2
2020-01-07,역삼2동,인터넷쇼핑,2906,289427713,서울특별시,강남구,2020,1,7,2
2020-01-07,역삼2동,인터넷쇼핑,4101,3916602630,서울특별시,강남구,2020,1,7,2
2020-01-07,수서동,인터넷쇼핑,14908,371935951,서울특별시,강남구,2020,1,7,2
2020-01-07,송파1동,인터넷쇼핑,139,3674767,서울특별시,송파구,2020,1,7,2
2020-01-07,천호2동,인터넷쇼핑,7300,729525068,서울특별시,강동구,2020,1,7,2
2020-01-07,소공동,인터넷쇼핑,108589,5059556678,서울특별시,중구,2020,1,7,2
2020-01-07,회현동,인터넷쇼핑,27740,2058590898,서울특별시,중구,2020,1,7,2
2020-01-07,회현동,인터넷쇼핑,68113,734589761,서울특별시,중구,2020,1,7,2
2020-01-07,장충동,인터넷쇼핑,359,51841616,서울특별시,중구,2020,1,7,2
2020-01-07,남영동,인터넷쇼핑,10540,136946644,서울특별시,용산구,2020,1,7,2
2020-01-07,한강로동,인터넷쇼핑,218466,9953696830,서울특별시,용산구,2020,1,7,2
2020-01-07,한강로동,인터넷쇼핑,55538,2537952119,서울특별시,용산구,2020,1,7,2
2020-01-07,아현동,인터넷쇼핑,264556,10457021320,서울특별시,마포구,2020,1,7,2
2020-01-07,염리동,인터넷쇼핑,8027,330989706,서울특별시,마포구,2020,1,7,2
2020-01-07,상암동,홈쇼핑,1586,88448651,서울특별시,마포구,2020,1,7,2
2020-01-07,목1동,인터넷쇼핑,49502,2142075283,서울특별시,양천구,2020,1,7,2
2020-01-07,가양1동,인터넷쇼핑,4869,16857242,서울특별시,강서구,2020,1,7,2
2020-01-07,구로3동,인터넷쇼핑,203836,10454451416,서울특별시,구로구,2020,1,7,2
2020-01-07,여의동,인터넷쇼핑,100,4477160,서울특별시,영등포구,2020,1,7,2
2020-01-07,문래동,인터넷쇼핑,194,11098855,서울특별시,영등포구,2020,1,7,2
2020-01-07,양평2동,인터넷쇼핑,5300,541737984,서울특별시,영등포구,2020,1,7,2
2020-01-07,신대방2동,인터넷쇼핑,16997,176820670,서울특별시,동작구,2020,1,7,2
2020-01-07,인헌동,인터넷쇼핑,1504,136854810,서울특별시,관악구,2020,1,7,2
2020-01-07,서초3동,인터넷쇼핑,573,72795750,서울특별시,서초구,2020,1,7,2
2020-01-07,서초4동,인터넷쇼핑,551,7326620,서울특별시,서초구,2020,1,7,2
2020-01-07,방배2동,홈쇼핑,7796,1336187401,서울특별시,서초구,2020,1,7,2
2020-01-07,방배2동,인터넷쇼핑,6797,625951630,서울특별시,서초구,2020,1,7,2
2020-01-07,방배4동,인터넷쇼핑,7668,344346061,서울특별시,서초구,2020,1,7,2
2020-01-07,삼성1동,인터넷쇼핑,60222,1486679187,서울특별시,강남구,2020,1,7,2
2020-01-07,삼성1동,인터넷쇼핑,2162,227376583,서울특별시,강남구,2020,1,7,2
2020-01-08,소공동,인터넷쇼핑,60819,3673213776,서울특별시,중구,2020,1,8,2
2020-01-08,회현동,인터넷쇼핑,16653,1208193949,서울특별시,중구,2020,1,8,2
2020-01-08,회현동,인터넷쇼핑,70694,767735577,서울특별시,중구,2020,1,8,2
2020-01-08,장충동,인터넷쇼핑,319,38738644,서울특별시,중구,2020,1,8,2
2020-01-08,남영동,인터넷쇼핑,4830,102050364,서울특별시,용산구,2020,1,8,2
2020-01-08,한강로동,인터넷쇼핑,177261,7671907734,서울특별시,용산구,2020,1,8,2
2020-01-08,한강로동,인터넷쇼핑,71829,3081566828,서울특별시,용산구,2020,1,8,2
2020-01-08,아현동,인터넷쇼핑,240163,53082440155,서울특별시,마포구,2020,1,8,2
2020-01-08,염리동,인터넷쇼핑,7717,296099006,서울특별시,마포구,2020,1,8,2
2020-01-08,상암동,홈쇼핑,2236,100794031,서울특별시,마포구,2020,1,8,2
2020-01-08,목1동,인터넷쇼핑,45281,2112517518,서울특별시,양천구,2020,1,8,2
2020-01-08,가양1동,인터넷쇼핑,27353,137347831,서울특별시,강서구,2020,1,8,2
2020-01-08,구로3동,인터넷쇼핑,200346,9698150238,서울특별시,구로구,2020,1,8,2
2020-01-08,여의동,인터넷쇼핑,114,34041399,서울특별시,영등포구,2020,1,8,2
2020-01-08,문래동,인터넷쇼핑,86,6356617,서울특별시,영등포구,2020,1,8,2
2020-01-08,양평2동,인터넷쇼핑,3080,191346395,서울특별시,영등포구,2020,1,8,2
2020-01-08,신대방2동,인터넷쇼핑,17336,178707530,서울특별시,동작구,2020,1,8,2
2020-01-08,인헌동,인터넷쇼핑,4969,306491592,서울특별시,관악구,2020,1,8,2
2020-01-08,서초4동,인터넷쇼핑,378,6506420,서울특별시,서초구,2020,1,8,2
2020-01-08,방배2동,인터넷쇼핑,2557,256529248,서울특별시,서초구,2020,1,8,2
2020-01-08,방배4동,인터넷쇼핑,7190,293741618,서울특별시,서초구,2020,1,8,2
2020-01-08,삼성1동,인터넷쇼핑,28778,1446272612,서울특별시,강남구,2020,1,8,2
2020-01-08,삼성1동,인터넷쇼핑,1613,174127059,서울특별시,강남구,2020,1,8,2
2020-01-08,역삼1동,인터넷쇼핑,1468,102496671,서울특별시,강남구,2020,1,8,2
2020-01-08,역삼1동,인터넷쇼핑,35557,3220047775,서울특별시,강남구,2020,1,8,2
2020-01-08,역삼2동,인터넷쇼핑,2563,305959881,서울특별시,강남구,2020,1,8,2
2020-01-08,역삼2동,인터넷쇼핑,3188,4309650841,서울특별시,강남구,2020,1,8,2
2020-01-08,수서동,인터넷쇼핑,23350,508793474,서울특별시,강남구,2020,1,8,2
2020-01-08,송파1동,인터넷쇼핑,107,17655552,서울특별시,송파구,2020,1,8,2
2020-01-08,천호2동,인터넷쇼핑,1694,121245599,서울특별시,강동구,2020,1,8,2
2020-01-09,소공동,인터넷쇼핑,89721,5051439499,서울특별시,중구,2020,1,9,2
2020-01-09,소공동,인터넷쇼핑,801,105962627,서울특별시,중구,2020,1,9,2
2020-01-09,회현동,인터넷쇼핑,15727,1209318601,서울특별시,중구,2020,1,9,2
